,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
2085,"Rp 1,25 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Baru 2 Lantai Harga Murah dekat Bandung kota di Leuwisari,"Bandung Kota, Bandung",3,1,1,LT : 55 m²,LB : 83 m²
2086,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Baru Minimalis 2 Lantai dekat Bandung kota di Leuwi Panjang,"Bandung Kota, Bandung",3,2,1,LT : 65 m²,LB : 94 m²
2087,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Siap Huni Bgn 3 Lantai Area Salendro Bandung,"Turangga, Bandung",3,2,1,LT : 144 m²,LB : 360 m²
2088,Rp 4 Miliar,Cicilan: 16 Jutaan per bulan,"Rumah Lokasi Strategis SHM Dekat Trans Studio Mall, Batununggal, Bandung","Batununggal, Bandung",5,3,4,LT : 323 m²,LB : 220 m²
2089,Rp 534 Juta,Cicilan: 2 Jutaan per bulan,"Cicilan 2,2jtan Dp 5jt Allin Rumah Gress Top Di Soreang Bandung Dekat Lingkar Luar 27rg85","Antapani, Bandung",3,2,0,LT : 60 m²,LB : 50 m²
2090,"Rp 2,75 Miliar",Cicilan: 11 Jutaan per bulan,Rumah 2 Lantai Bawah Njop Dekat Tol Pasteur ,"Pasteur, Bandung",4,3,1,LT : 510 m²,LB : 200 m²
2091,"Rp 2,6 Miliar",Cicilan: 10 Jutaan per bulan,Rumah siap huni one gate sytem buah batu regency bandung timur,"Buah Batu, Bandung",4,3,1,LT : 244 m²,LB : 320 m²
2092,Rp 375 Juta,Cicilan: 1 Jutaan per bulan,"Angsuran 1,5jtan Dp 5jt Allin Rumah Baru Cantik Bandung Soreang Dekat Hermina 24rg85","Cangkuang, Bandung",2,1,0,LT : 60 m²,LB : 30 m²
2093,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Bu Jual Cepat Rumah Cantik Dan Asri Taman Holis Indah 1,"Holis Cigondewah, Bandung",3,2,1,LT : 153 m²,LB : 162 m²
2094,"Rp 9,5 Miliar",Cicilan: 38 Jutaan per bulan,Rumah siap huni full furnished dago bandung utara,"Dago, Bandung",4,3,2,LT : 528 m²,LB : 360 m²
2095,"Rp 4,5 Miliar",Cicilan: 18 Jutaan per bulan,Rumah siap huni area dago resort bandung,"Dago, Bandung",4,3,2,LT : 396 m²,LB : 235 m²
2096,"Rp 3,9 Miliar",Cicilan: 15 Jutaan per bulan,Rumah Artdeco siap huni jalan Lodaya Bandung,"Turangga, Bandung",4,3,0,LT : 230 m²,LB : 230 m²
2097,Rp 2 Miliar,Cicilan: 8 Jutaan per bulan,Rumah 2 Lantai di Sayap Peta Cocok Untuk Home Industri,"Peta, Bandung",7,2,1,LT : 255 m²,LB : 350 m²
