,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1530,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,Murah Rumah Lama Hitung Tanah Di Belakang Griya Arcamanik Endah,"Antapani, Bandung",3,2,1,LT : 176 m²,LB : 100 m²
1531,Rp 35 Juta,Cicilan: 148 Ribuan per bulan,Lokasi Terbaik Rumah Lama Hitung Tanah di Dago Dekat Jl Riau ,"Dago, Bandung",5,3,20,LT : 1535 m²,LB : 330 m²
1532,"Rp 4,5 Miliar",Cicilan: 19 Jutaan per bulan,"Dijual Rumah 2 Lantai di Sayap Pasteur, Bandung Kota","Pasteur, Bandung",4,3,2,LT : 325 m²,LB : 500 m²
1533,"Rp 1,19 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Full Renovasi di Koper Kopo Permai Bandung ,"Kopo Permai, Bandung",3,2,1,LT : 112 m²,LB : 120 m²
1534,"Rp 2,8 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Bagus Siap Huni Dalam Komplek Podomoro,"Buah Batu, Bandung",4,3,1,LT : 158 m²,LB : 111 m²
1535,Rp 140 Juta,Cicilan: 593 Ribuan per bulan,Rumah Nyaman Minimalis Modern 2 Lantai Siap Huni di Dago Bandung,"Dago, Bandung",5,4,1,LT : 200 m²,LB : 350 m²
1536,Rp 4 Miliar,Cicilan: 16 Jutaan per bulan,Jual / Sewa Rumah Bagus Di Daerah Turangga Shm ,"Turangga, Bandung",3,2,1,LT : 170 m²,LB : 200 m²
1537,Rp 10 Miliar,Cicilan: 42 Jutaan per bulan,Rumah Lux Mewah Asri di Cigadung Sayap Dago Bandung ,"Sayap Dago, Bandung",5,3,2,LT : 538 m²,LB : 375 m²
1538,Rp 24 Miliar,Cicilan: 101 Jutaan per bulan,Rumah Strategis Pusat Kota Area Dago Kota Bandung,"Dago, Bandung",6,3,7,LT : 447 m²,LB : 184 m²
1539,"Rp 1,5 Miliar",Cicilan: 6 Jutaan per bulan, Dijual Rumah Minimalis 3 Lt Siap Huni Di Pesona Bali City View Residence ,"Geger Kalong, Bandung",4,3,2,LT : 120 m²,LB : 140 m²
1540,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Nyaman Minimalis di Leuwisari Bandung,"Bojongloa Kidul, Bandung",3,2,0,LT : 235 m²,LB : 175 m²
1541,"Rp 5,5 Miliar",Cicilan: 23 Jutaan per bulan,Rumah Mewah Dengan Swimming Pool di Dago Furnished,"Dago, Bandung",3,3,2,LT : 387 m²,LB : 225 m²
1542,Rp 10 Miliar,Cicilan: 42 Jutaan per bulan,Di Jual Rumah Bagus Terawat Dalam Komplek Di Cigadung,"Cigadung, Bandung",5,3,2,LT : 538 m²,LB : 375 m²
1543,"Rp 1,25 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Minimalis Siap Huni Full Renovasi Jarang Ada di Margahayu,"Margahayu, Bandung",3,2,1,LT : 105 m²,LB : 100 m²
1544,"Rp 3,75 Miliar",Cicilan: 15 Jutaan per bulan,Jual Rumah Mewah Murah Komplek Pelangi Utama Antapani Arcamanik Cicaheum,"Antapani, Bandung",4,4,0,LT : 128 m²,LB : 300 m²
1545,"Rp 1,97 Miliar",Cicilan: 8 Jutaan per bulan,Rumah 2 Lantai Terawat Di Summarecon Amanda ,"Summarecon Bandung, Bandung",3,3,1,LT : 112 m²,LB : 132 m²
1546,"Rp 7,5 Miliar",Cicilan: 31 Jutaan per bulan,Dijual Rumah Lux 2 Lantai Di Istana Regency Pasteur,"Pasteur, Bandung",4,6,4,LT : 300 m²,LB : 500 m²
1547,"Rp 3,6 Miliar",Cicilan: 15 Jutaan per bulan,Rumah Baru 2 Lantai Di Singgasana Pradana ,"Mekar Wangi, Bandung",4,3,2,LT : 126 m²,LB : 200 m²
1548,Rp 18 Miliar,Cicilan: 76 Jutaan per bulan,Rumah heritage di sayap riau Bandung kota lebar muka 18m,"Bandung Kota, Bandung",5,2,0,LT : 538 m²,LB : 389 m²
1549,"Rp 3,3 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Full Furnished Siap Nego Di Jingganegara Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 168 m²,LB : 130 m²
1550,"Rp 3,5 Miliar",Cicilan: 14 Jutaan per bulan,Dijual Rumah Mewah Daerah Setiabudi Dekat Upi Bandung,"Setiabudi, Bandung",10,5,1,LT : 331 m²,LB : 304 m²
1551,Rp 106 Miliar,Cicilan: 450 Jutaan per bulan,"Jarang Ada, Rumah Klasik, Hitung Tanah Saja, ","Ciumbuleuit, Bandung",8,5,15,LT : 7083 m²,LB : 800 m²
