,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
6128,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6129,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,3,1,LT : 102 m²,LB : 113 m²
6130,Rp 10 Miliar,Cicilan: 38 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",4,4,3,LT : 417 m²,LB : 300 m²
6131,"Rp 3,99 Miliar",Cicilan: 15 Jutaan per bulan,No Data,"Turangga, Bandung",4,3,1,LT : 260 m²,LB : 200 m²
6132,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6133,Rp 15 Miliar,Cicilan: 57 Jutaan per bulan,No Data,"Riau, Bandung",5,5,0,LT : 734 m²,LB : 400 m²
6134,"Rp 2,19 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"BKR, Bandung",3,3,2,LT : 114 m²,LB : 123 m²
6135,"Rp 3,9 Miliar",Cicilan: 14 Jutaan per bulan,No Data,"Turangga, Bandung",3,3,1,LT : 265 m²,LB : 350 m²
6136,"Rp 4,2 Miliar",Cicilan: 16 Jutaan per bulan,No Data,"Antapani, Bandung",3,3,0,LT : 216 m²,LB : 120 m²
6137,"Rp 4,75 Miliar",Cicilan: 18 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",3,3,1,LT : 223 m²,LB : 250 m²
6138,"Rp 3,2 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",2,2,1,LT : 120 m²,LB : 94 m²
6139,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6140,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Astanaanyar, Bandung",4,3,0,LT : 210 m²,LB : 230 m²
6141,Rp 6 Miliar,Cicilan: 23 Jutaan per bulan,No Data,"Cimenyan, Bandung",5,5,4,LT : 537 m²,LB : 240 m²
6142,"Rp 3,8 Miliar",Cicilan: 14 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,3,2,LT : 245 m²,LB : 300 m²
6143,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Ciwastra, Bandung",3,2,1,LT : 158 m²,LB : 130 m²
6144,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6145,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,No Data,"BKR, Bandung",6,3,0,LT : 348 m²,LB : 192 m²
6146,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,1,LT : 115 m²,LB : 80 m²
6147,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,3,0,LT : 182 m²,LB : 300 m²
6148,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,0,LT : 91 m²,LB : 63 m²
6149,"Rp 1,97 Miliar",Cicilan: 7 Jutaan per bulan,No Data,"Lengkong, Bandung",5,2,0,LT : 230 m²,LB : 200 m²
6150,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Podomoro Park Bandung, Bandung",2,2,1,LT : 96 m²,LB : 94 m²
6151,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Bandung Kota, Bandung",4,2,1,LT : 303 m²,LB : 280 m²
6152,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Podomoro Park Bandung, Bandung",2,1,1,LT : 70 m²,LB : 31 m²
